timestamp,target,destination_ip,hop_number,ip_address,rtt1_ms,rtt2_ms,rtt3_ms
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,15,62.115.113.3,157.989,158.847,161.090
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,16,62.115.136.145,229.742,234.693,242.203
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,17,62.115.140.30,223.361,,
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,18,213.248.82.234,238.029,225.900,254.226
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,19,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,20,211.125.114.65,249.046,238.059,241.477
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,21,103.14.13.3,244.917,257.942,241.715
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,22,211.125.114.65,237.861,244.426,
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,23,103.14.13.3,247.382,253.324,
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,24,103.14.13.3,255.688,246.541,
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,25,211.125.119.106,260.999,,
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,26,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,27,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,28,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,29,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,30,*,,,
Wed 09 Apr 20:00:02 BST 2026,www.washington.edu,128.208.60.208,1,192.168.25.1,1.173,1.147,0.521
Wed 09 Apr 20:00:02 BST 2026,www.washington.edu,128.208.60.208,2,139.222.0.1,4.504,7.348,10.554
Wed 09 Apr 20:00:02 BST 2026,www.washington.edu,128.208.60.208,3,10.0.0.1,6.326,11.520,14.671
Wed 09 Apr 20:00:02 BST 2026,www.washington.edu,128.208.60.208,4,193.62.92.125,1.682,1.789,1.739
Wed 09 Apr 20:00:02 BST 2026,www.washington.edu,128.208.60.208,5,10.11.1.0,1.975,1.943,1.911
Wed 09 Apr 20:00:02 BST 2026,www.washington.edu,128.208.60.208,6,146.97.141.116,4.629,4.545,4.190
Wed 09 Apr 20:00:02 BST 2026,www.washington.edu,128.208.60.208,7,146.97.38.49,4.726,6.417,6.351
Wed 09 Apr 20:00:02 BST 2026,www.washington.edu,128.208.60.208,8,146.97.33.5,5.812,5.683,5.645
